id2,id,keyword,translation,username1,status1,cant_post1,wait_msg1,hidden_from_timeline1,missing_1hr_later1,missing_24hrs_later1,deleted_msg1,deleted_msg_time1,username2,status2,cant_post2,wait_msg2,hidden_from_timeline2,missing_1hr_later2
185,254,中华民国+万岁,long live+Republic of China,user4,,,,,.,,,,user20,,,,,
186,256,周永kang,Zhou Yongkang,user4,,1,,,.,,,,user20,,1,,,
187,257,z永康,z Yongkang,user4,,,,,.,,,,user20,,,,,
188,259,康师傅+中石油,Kang Shifu+CNPC,user4,,,,,.,,,,user20,,,,,
189,260,康师傅+儿子,Kang Shifu+son,user4,,,,,.,,,,user20,,,,,
190,261,周薄,Zhou Bo,user4,,,,,.,,,,user20,,,,,
191,262,习+同志,comrade+Xi,user4,,,,,.,,,,user20,,,,,
192,266,习梦撕,Xi The Dream-Ripper,user4,,,,1,.,,,,user20,,,,1,1
193,267,蒋公剿匪不力,Master Chiang fails to suppress the bandits,user4,,,,,.,,,,user20,,,,,1
194,268,习梦撕（指习,Doctor [of Philosophy] Xi ,user4,,,,1,.,,,,user20,,,,1,1
195,270,刘美珣,Liu Meixun,user4,,,,1,.,,,,user20,,,,1,1
196,271,半羽,Half-Feather,user4,,,,1,.,,,,user20,,,,1,1
197,272,习三胖,Xi Third-Fatty,user4,,1,,,.,,,,user20,,1,,,
198,273,习+左,Xi+left,user4,,,,,.,,,,user20,,,,,
199,274,习+新政,Xi+new administration,user4,,,,,.,,,,user20,,,,,
200,275,习+司令,Xi+commanding officer,user4,,,,1,.,,,,user20,,,,1,1
201,276,宪政,constitutionalism,user5,active,,,,,,,,user21,,,,,1
202,279,薄+保外就医,Bo+medical parole,user5,,,,,,,,,user21,,,,,
203,280,薄+（周）永康,Bo+(Zhou) Yongkang,user5,,,,,,,,,user21,,,,,1
204,282,薄胡,Bo Hu,user5,,,,,,,,,user21,,,,,
205,283,五个重庆,Five Chongqings,user5,,,,,,,,,user21,,,,,1
206,284,党内斗争,internal Party struggle,user5,,,,1,,,,,user21,,,,1,
207,285,挺薄,support Bo,user5,,,,,,,,,user21,,,,,1
208,286,薄公,Master Bo,user5,,,,,1,1,,,user21,,,,,1
209,287,怀念+薄,think fondly of+Bo,user5,,,,,,,,,user21,,,,,
210,291,马云+六四,Jack Ma+Six Four,user5,,,,1,1,1,,,user21,,,,1,
211,292,马云+64,Jack Ma+64,user5,,,,,,,,,user21,,,,,
212,293,马云+八九,Jack Ma+Eight Nine,user5,,,,,,,,,user21,,,,,
213,296,许博士,Dr. [of Philosophy] Xu,user5,,,,,,,,,user21,,,,,
214,297,刘卫国,Liu Weiguo,user5,,,,,,,,,user21,,,,,
215,299,陈建刚,Chen Jiangang,user5,,,,,,,,,user21,,,,,1
216,305,李小琳,Li Xiaolin,user5,,,,,,,,,user21,,,,,1
217,307,张晓明,Zhang Xiaoming,user5,,,,,,,,,user21,,,,,
218,308,基本法+23,Basic Law+23,user5,,,,,,,,,user21,,,,,
