id,name,banned,results,datetested,trigger,results2,datetested2,translation
114,侯欣+法院,1,-1,2014-05-11 03:45:05 UTC,侯欣法院,0,2014-11-03 17:42:36 UTC,Hou Xin+court
115,ICIJ,1,-1,2014-05-11 03:45:29 UTC,ICIJ,559,2014-11-03 17:42:59 UTC,ICIJ [International Consortium of Investigative Journalists]
116,离岸+维京,1,-1,2014-05-11 03:47:06 UTC,离岸维京,0,2014-11-03 17:43:21 UTC,offshore+Virgin [Islands]
117,离岸+金融,1,-1,2014-05-11 03:48:19 UTC,离岸金融,0,2014-11-03 17:43:41 UTC,offshore+finances
118,双规+大老虎,1,-1,2014-05-11 03:49:53 UTC,双规大老虎,0,2014-11-03 17:44:01 UTC,shuanggui+big tiger
119,逮捕+大老虎,1,-1,2014-05-11 03:51:27 UTC,逮捕大老虎,0,2014-11-03 17:44:22 UTC,arrest+big tiger
120,温老虎,1,-1,2014-05-11 03:52:38 UTC,温老虎,0,2014-11-03 17:44:42 UTC,Tiger Wen
121,跑官,1,-1,2014-05-11 03:53:50 UTC,跑官,0,2014-11-03 17:45:03 UTC,running official
122,前核心,1,-1,2014-05-11 03:55:03 UTC,前核心,0,2014-11-03 17:45:23 UTC,former inner circle
123,杨洁篪+辞职,1,-1,2014-05-11 03:56:38 UTC,杨洁篪辞职,0,2014-11-03 17:45:44 UTC,Yang Jiechi+resign
124,习+最近严厉讲话,1,-1,2014-05-11 03:58:12 UTC,习最近严厉讲话,0,2014-11-03 17:46:04 UTC,Xi+most recent stern speech
125,傅某,1,-1,2014-05-11 03:59:23 UTC,傅某,0,2014-11-03 17:46:25 UTC,a certain [person surnamed] Fu
126,尚福林+落网,1,-1,2014-05-11 04:00:57 UTC,尚福林落网,0,2014-11-03 17:46:45 UTC,Shang Fulin+be captured
127,尚福林+落马,1,-1,2014-05-11 04:02:32 UTC,尚福林落马,0,2014-11-03 17:47:06 UTC,Shang Fulin+be eliminated (as in a contest)
128,尚福林+137亿,1,-1,2014-05-11 04:04:21 UTC,尚福林137亿,0,2014-11-03 17:47:26 UTC,Shang Fulin+13.7 billion
129,尚福林+敛财,1,-1,2014-05-11 04:05:57 UTC,尚福林敛财,0,2014-11-03 17:47:46 UTC,Shang Fulin+gain wealth by unfair means
130,尚福林+贪污,1,-1,2014-05-11 04:07:33 UTC,尚福林贪污,0,2014-11-03 17:48:07 UTC,Shang Fulin+graft
131,尚福林+巨贪,1,-1,2014-05-11 04:09:09 UTC,尚福林巨贪,0,2014-11-03 17:48:27 UTC,Shang Fulin+extremely corrupt
132,尚福林+辞职,1,-1,2014-05-11 04:10:45 UTC,尚福林辞职,0,2014-11-03 17:48:47 UTC,Shang Fulin+resign
133,尚福林+被抓,1,-1,2014-05-11 04:12:22 UTC,尚福林被抓,0,2014-11-03 17:49:08 UTC,Shang Fulin+be caught
134,蛤蟆+死,1,-1,2014-05-11 04:13:34 UTC,蛤蟆死,0,2014-11-03 17:49:28 UTC,toad+dead
